,0
overall,54.94/23.16
visual_recognition,75.68/23.38
localization,47.93/18.83
ocr,56.67/19.56
counting,45.71/19.30
hallucination,68.75/26.49
image_retrieval,29.29/24.52
threed,50.00/40.00
visual_captioning,72.33/22.27
visual_grounding,46.15/20.12
doc_understanding,50.00/44.57
action_recognition,51.00/20.36
pixel_level_perception,43.86/20.68
image-to-image_translation,35.00/20.20
relation_reasoning,67.50/22.99
intelligence_quotient_test,15.00/16.64
emotion,51.67/30.19
visual_illusion,49.37/23.57
meme_understanding,65.00/25.16
visual_prompt_understanding,66.67/22.89
anomaly_detection,55.00/18.80
keypoint_detection,34.83/26.80
visual_commonsense_reasoning,75.00/20.33
image_evaluation_judgement,42.50/15.46
multiple_image_analysis,40.00/19.47
cross_image_matching,41.67/16.22
temporal_understanding,24.24/18.75
visual_code,40.00/26.11
medical_understanding,63.00/17.56
autonomous_driving,54.00/20.99
discipline_knowledge_reasoning,35.90/24.24
embodied_ai,80.00/11.37
gui_navigation,46.25/22.44
