,0
overall,54.01/31.65
visual_recognition,74.62/32.30
localization,41.42/24.16
ocr,60.00/25.07
counting,43.57/24.44
hallucination,61.25/36.68
image_retrieval,27.86/30.97
threed,50.00/46.37
visual_captioning,72.96/29.70
visual_grounding,43.59/33.40
doc_understanding,45.97/58.61
action_recognition,49.00/27.92
pixel_level_perception,45.61/31.68
image-to-image_translation,25.00/26.93
relation_reasoning,67.50/30.60
intelligence_quotient_test,15.00/26.65
emotion,53.33/40.65
visual_illusion,51.90/35.02
meme_understanding,62.50/32.29
visual_prompt_understanding,69.23/32.76
anomaly_detection,60.00/26.33
keypoint_detection,29.21/38.16
visual_commonsense_reasoning,70.00/31.98
image_evaluation_judgement,42.50/24.59
multiple_image_analysis,57.50/24.57
cross_image_matching,45.00/22.90
temporal_understanding,26.26/24.29
visual_code,38.33/34.64
medical_understanding,67.00/22.52
autonomous_driving,48.00/26.93
discipline_knowledge_reasoning,41.03/36.54
embodied_ai,75.00/25.36
gui_navigation,37.50/35.06
