,0
overall,54.43/57.35
visual_recognition,74.01/58.59
localization,46.15/54.41
ocr,51.67/41.93
counting,41.43/56.07
hallucination,58.75/67.16
image_retrieval,31.43/48.49
threed,47.50/60.89
visual_captioning,74.21/57.63
visual_grounding,53.85/69.52
doc_understanding,54.03/78.74
action_recognition,54.00/51.32
pixel_level_perception,36.84/63.80
image-to-image_translation,25.00/50.78
relation_reasoning,67.50/64.29
intelligence_quotient_test,0.00/63.45
emotion,58.33/67.07
visual_illusion,51.90/57.54
meme_understanding,52.50/47.30
visual_prompt_understanding,64.10/63.25
anomaly_detection,59.00/49.09
keypoint_detection,29.21/65.74
visual_commonsense_reasoning,75.00/61.98
image_evaluation_judgement,40.00/54.56
multiple_image_analysis,50.00/51.16
cross_image_matching,55.00/45.64
temporal_understanding,29.29/43.67
visual_code,31.67/55.75
medical_understanding,72.00/44.89
autonomous_driving,47.00/53.17
discipline_knowledge_reasoning,38.46/63.61
embodied_ai,85.00/61.35
gui_navigation,40.00/56.92
